energy,nue_bar
0.00005,0.422203
0.00015,1.13857
0.00025,1.52428
0.00035,1.86223
0.00045,2.26816
0.00055,2.36264
0.00065,2.30844
0.00075,2.28245
0.00085,2.31003
0.00095,2.17723
0.00105,2.02481
0.00115,1.91059
0.00125,1.70374
0.00135,1.57469
0.00145,1.52516
0.00155,1.46396
0.00165,1.38893
0.00175,1.30284
0.00185,1.20856
0.00195,1.1122
0.00205,1.03713
0.00215,0.949422
0.00225,0.864937
0.00235,0.787501
0.00245,0.727839
0.00255,0.679666
0.00265,0.62996
0.00275,0.586125
0.00285,0.547952
0.00295,0.502546
0.00305,0.470589
0.00315,0.439211
0.00325,0.404284
0.00335,0.374074
0.00345,0.338272
0.00355,0.307004
0.00365,0.278984
0.00375,0.25653
0.00385,0.234653
0.00395,0.212615
0.00405,0.188508
0.00415,0.170171
0.00425,0.150462
0.00435,0.134751
0.00445,0.119743
0.00455,0.102738
0.00465,0.091488
0.00475,0.0833093
0.00485,0.0761328
0.00495,0.0687612
0.00505,0.0625863
0.00515,0.0566139
0.00525,0.0507123
0.00535,0.0438568
0.00545,0.0390513
0.00555,0.0346351
0.00565,0.0305301
0.00575,0.027182
0.00585,0.0243714
0.00595,0.0214881
0.00605,0.0190322
0.00615,0.0168899
0.00625,0.0146754
0.00635,0.0129962
0.00645,0.0113041
0.00655,0.0101014
0.00665,0.00889934
0.00675,0.00784997
0.00685,0.00694215
0.00695,0.00601569
0.00705,0.00516181
0.00715,0.00403838
0.00725,0.00348201
0.00735,0.00276719
0.00745,0.00229293
0.00755,0.00192503
0.00765,0.0016237
0.00775,0.00132222
0.00785,0.00107237
0.00795,0.000831228
0.00805,0.000570804
0.00815,0.000306585
0.00825,0.000248452
0.00835,0.000184632
0.00845,0.000107506
0.00855,0.0000660244
0.00865,0.0000572613
0.00875,0.0000492392
0.00885,0.0000419914
0.00895,0.0000299896
0.00905,0.0000236676
0.00915,0.0000189826
0.00925,0.0000159292
0.00935,0.000013898
0.00945,0.0000119941
0.00955,9.73616e-6
0.00965,8.39612e-6
0.00975,7.17163e-6
0.00985,5.74442e-6
0.00995,4.32106e-6
0.01005,3.92163e-6
0.01015,3.48442e-6
0.01025,3.13978e-6
0.01035,2.89853e-6
0.01045,2.65976e-6
0.01055,2.43002e-6
0.01065,2.20661e-6
0.01075,1.98916e-6
0.01085,1.77713e-6
0.01095,1.57097e-6
0.01105,1.38176e-6
0.01115,1.19947e-6
0.01125,1.0272e-6
0.01135,8.67256e-7
0.01145,7.17518e-7
0.01155,5.78473e-7
0.01165,4.48009e-7
0.01175,1.82086e-7
0.01185,1.59259e-7
0.01195,1.37763e-7
0.01205,1.17718e-7
0.01215,9.86233e-8
0.01225,7.66282e-8
0.01235,5.95573e-8
0.01245,4.96945e-8
0.01255,4.07243e-8
0.01265,3.255e-8
0.01275,2.10402e-8
0.01285,1.1793e-8
0.01295,9.78248e-9
0.01305,7.84954e-9
0.01315,6.14145e-9
0.01325,4.56528e-9
0.01335,3.12025e-9
0.01345,1.71213e-9
0.01355,8.88712e-10
0.01365,1.11003e-11
0.01375,7.23665e-12
0.01385,4.16067e-12
0.01395,3.49968e-12
0.01405,2.88622e-12
0.01415,2.32622e-12
0.01425,1.70487e-12
0.01435,1.06036e-12
0.01445,5.08862e-13
0.01455,3.95689e-13
0.01465,2.35345e-13
0.01475,1.56844e-13
0.01485,1.3229e-13
0.01495,1.07548e-13
0.01505,7.22054e-14
0.01515,5.89476e-14
0.01525,4.94143e-14
0.01535,4.06626e-14
0.01545,3.18867e-14
0.01555,1.78086e-14
0.01565,1.39444e-14
0.01575,1.1657e-14
0.01585,9.51537e-15
0.01595,7.52551e-15
0.01605,5.72058e-15
0.01615,3.21779e-15
0.01625,1.8392e-15
0.01635,1.00558e-15
0.01645,1.96593e-32
0.01655,1.78469e-32
0.01665,1.61023e-32
0.01675,1.44265e-32
0.01685,1.28235e-32
0.01695,1.12888e-32
0.01705,9.77996e-33
0.01715,8.47924e-33
0.01725,7.27194e-33
0.01735,6.14155e-33
0.01745,5.09047e-33
0.01755,4.12091e-33
0.01765,3.22896e-33
0.01775,2.31046e-33
0.01785,1.29748e-33
0.01795,1.12345e-33
0.01805,9.59601e-34
0.01815,8.06646e-34
0.01825,6.63447e-34
0.01835,5.30356e-34
0.01845,4.07702e-34
0.01855,2.97585e-34
0.01865,2.04319e-34
0.01875,8.51236e-35
0.01885,0
0.01895,0
0.01905,0
0.01915,0
0.01925,0
0.01935,0
0.01945,0
0.01955,0
0.01965,0
0.01975,0
0.01985,0
