x,y,z
0.030000,0.660000,1.650400
0.030000,0.680000,1.669200
0.030000,0.700000,1.688000
0.030000,0.720000,1.706800
0.030000,0.740000,1.725600
0.030000,0.760000,1.744400
0.030000,0.780000,1.763200
0.030000,0.800000,1.782000
0.030000,0.820000,1.800800
0.030000,0.840000,1.819600
0.030000,0.860000,1.838400
0.030000,0.880000,1.857200
0.030000,0.900000,1.876000
0.030000,0.920000,1.894800
0.030000,0.940000,1.913600
0.030000,0.960000,1.932400
0.030000,0.980000,1.951200
0.030000,1.000000,1.970000
0.040000,0.000000,1.040000
0.040000,0.020000,1.058400
0.040000,0.040000,1.076800
0.040000,0.060000,1.095200
0.040000,0.080000,1.113600
0.040000,0.100000,1.132000
0.040000,0.120000,1.150400
0.040000,0.140000,1.168800
0.040000,0.160000,1.187200
0.040000,0.180000,1.205600
0.040000,0.200000,1.224000
0.040000,0.220000,1.242400
0.040000,0.240000,1.260800
0.040000,0.260000,1.279200
0.040000,0.280000,1.297600
0.040000,0.300000,1.316000
0.040000,0.320000,1.334400
0.040000,0.340000,1.352800
0.040000,0.360000,1.371200
0.040000,0.380000,1.389600
0.040000,0.400000,1.408000
0.040000,0.420000,1.426400
0.040000,0.440000,1.444800
0.040000,0.460000,1.463200
0.040000,0.480000,1.481600
0.040000,0.500000,1.500000
0.040000,0.520000,1.518400
0.040000,0.540000,1.536800
0.040000,0.560000,1.555200
0.040000,0.580000,1.573600
0.040000,0.600000,1.592000
0.040000,0.620000,1.610400
0.040000,0.640000,1.628800
0.040000,0.660000,1.647200
0.040000,0.680000,1.665600
0.040000,0.700000,1.684000
0.040000,0.720000,1.702400
0.040000,0.740000,1.720800
0.040000,0.760000,1.739200
0.040000,0.780000,1.757600
0.040000,0.800000,1.776000
0.040000,0.820000,1.794400
0.040000,0.840000,1.812800
0.040000,0.860000,1.831200
0.040000,0.880000,1.849600
0.040000,0.900000,1.868000
0.040000,0.920000,1.886400
0.040000,0.940000,1.904800
0.040000,0.960000,1.923200
0.040000,0.980000,1.941600
0.040000,1.000000,1.960000
0.050000,0.000000,1.050000
0.050000,0.020000,1.068000
0.050000,0.040000,1.086000
0.050000,0.060000,1.104000
0.050000,0.080000,1.122000
0.050000,0.100000,1.140000
0.050000,0.120000,1.158000
0.050000,0.140000,1.176000
0.050000,0.160000,1.194000
0.050000,0.180000,1.212000
0.050000,0.200000,1.230000
0.050000,0.220000,1.248000
0.050000,0.240000,1.266000
0.050000,0.260000,1.284000
0.050000,0.280000,1.302000
0.050000,0.300000,1.320000
0.050000,0.320000,1.338000
0.050000,0.340000,1.356000
0.050000,0.360000,1.374000
0.050000,0.380000,1.392000
0.050000,0.400000,1.410000
0.050000,0.420000,1.428000
